date,wind,hydroeletric,nuclear,solar,thermal
2020-12-02,194.60265200000006,1108.0555600000005,44.486233999999996,15.482851999999996,366.00025300000004
2020-12-03,166.17116000000007,1152.1602830000004,44.565577,13.704853,354.91049800000013
2020-12-04,168.707879,1126.1328610000003,44.433479999999996,14.895514,366.275495
2020-12-05,181.96694900000006,1009.9438680000003,44.450382,12.492789000000004,324.424258
2020-12-06,173.74611299999995,832.1893900000002,44.513359,10.011812999999998,314.152073
2020-12-07,188.00050000000005,1016.9927509999998,44.46559,11.326880000000001,323.4336819999999
2020-12-08,156.89056799999994,1073.0288819999998,44.451231,12.696473,330.1684019999999
2020-12-09,121.22714100000003,1121.141178,44.57718,12.077407000000003,366.022366
2020-12-10,137.41073900000004,1124.5414609999998,44.544267,12.411832,363.00706300000013
2020-12-11,190.10499199999995,1109.788439,44.498578,12.158857,320.9272580000001
2020-12-12,206.16038300000005,983.9741010000002,44.481676,8.346317,309.7776950000001
2020-12-13,186.12642400000001,878.2747520000001,44.439754,13.916646999999998,295.184963
2020-12-14,168.72934400000005,1107.8757879999998,44.461020000000005,17.082582,317.122369
2020-12-15,168.05215800000002,1164.1428970000004,44.458393,17.571413,313.290484
2020-12-16,158.17652799999996,1204.4569330000002,44.479712,15.748895,316.608217
2020-12-17,165.601901,1197.5135140000004,44.465028,15.657055000000003,315.32860999999997
2020-12-18,173.74010099999995,1191.451819,44.491479999999996,15.929264999999997,330.709464
2020-12-19,171.314936,1067.583676,44.478349,15.385683,320.85897100000005
2020-12-20,176.60814600000003,959.189198,44.397755000000004,12.788755,297.68980799999997
2020-12-21,161.67264400000008,1121.7860730000002,44.361235,13.641859000000002,323.1681909999999
2020-12-22,142.06942,1113.7883330000006,44.326892,12.762381,339.597155
2020-12-23,136.74534800000006,1088.9861350000003,44.361671,11.802369999999998,328.0494
2020-12-24,170.368915,969.2418440000001,44.388891,13.683257,297.85560200000003
2020-12-25,190.27088600000008,821.2021109999996,44.415669,13.521109000000001,227.95175800000004
2020-12-26,212.98788800000005,900.2106650000001,44.428636999999995,13.519512999999998,226.346288
2020-12-27,245.06075499999994,856.4239210000002,44.387640000000005,13.162491000000001,220.97576600000002
2020-12-28,228.73199899999992,1005.9215110000004,44.462239,17.164470000000005,276.28291500000006
2020-12-29,197.524035,1058.1196340000001,44.494736,16.453913000000004,309.111582
